economy,year,debt_to_gdp,external_debt_gni,short_term_debt_reserves,debt_service_ratio,govt_expense_gdp,inflation_cpi,real_interest_rate,m2_growth,m2_to_reserves,private_credit_gdp,current_account_gdp,total_reserves,terms_of_trade_index,exports_gdp,gdp_growth,gdp_pc_growth,capital_formation_gdp,sp500_index,vix_index,treasury_10y_rate,fed_funds_rate,income_group,region,target_next_year
TLS,2015,,4.18631483293713,13.7762877308765,0.058456660930357,73.2817850409055,0.552796026277853,5.87106146580398,7.07464549393858,1.46717106160885,13.322336267546,14.1369485088972,437752180.980057,100.0,3.05030768868196,2.48003785368208,0.50481165896521,35.628659348021,4945.553492063492,16.674126984126985,2.1382868525896415,0.1325,LMC,EAS,0.0
TLS,2016,,3.64373313129695,0.0,0.124179938344076,70.0955680476359,-1.33853876185163,13.88733452746,14.2654140843731,2.61209567935631,12.67653068945,-32.4953733274264,280953720.723143,86.5,3.15642530747451,3.00993358093274,1.06590529631157,38.253604599224,4987.792976190476,15.82563492063492,1.83744,0.395,LMC,EAS,1.0
TLS,2017,,5.51559153978068,0.546989722426066,0.203930991586737,57.0566055190158,0.557215537430361,13.5282522320675,12.1298090418298,1.51146962600913,16.3807804187487,-21.3947158967538,544434360.995242,87.2,2.40901270152234,-3.18241515376397,-4.99167831534328,32.944829681811,6235.298685258964,11.0902390438247,2.32948,1.0016666666666667,LMC,EAS,0.0
TLS,2018,,7.06944424317143,0.384327986338134,0.317026611161799,56.9399591788728,2.63647201015892,15.0237255706377,3.12197197823297,1.25921070462283,16.0577019350861,-12.2846133393607,673903564.681158,92.3,2.93152904035797,-0.466502371512661,-2.35863567554246,32.9208519722836,7425.957729083665,16.639840637450202,2.9112449799196787,1.8316666666666668,LMC,EAS,0.0
TLS,2019,,7.08840627014517,0.228124355257427,0.433295536420264,49.0454451316042,0.958812739703141,9.69710768704107,-7.10863145315821,1.20121674022941,12.9706038186397,22.1597724933438,656221032.73923,89.0,21.2143182884594,24.2128789232326,21.8272415651768,22.8814773625338,7940.210486166008,15.387857142857142,2.1414,2.158333333333333,LMC,EAS,0.0
TLS,2020,,9.78633311756728,0.0659534522576511,0.412410230955255,52.1860724771251,0.495499215459571,41.2938033021488,10.613656234832,1.32809733871609,13.4246471058541,22.5397943738322,656523631.709921,71.7,36.6662148149543,31.7257429812373,29.2315968537651,13.7011288278151,10201.520592885376,29.251304347826085,0.889203187250996,0.3758333333333333,LMC,EAS,0.0
TLS,2021,,8.04403579120896,0.112325825331731,0.308479868748262,41.195523774999,3.69792094666786,-30.1231701781292,28.2876980986845,1.19661819311133,8.37597685359829,54.7594420338552,934780578.64168,119.5,63.5127878342858,5.36980163959615,3.49004182057652,14.1831457663315,14371.66246031746,19.656150793650795,1.4468525896414344,0.08,LMC,EAS,1.0
TLS,2022,,9.41955208465074,0.0406831872436865,0.779253533387679,52.4935014691698,7.00530945399787,-0.326379916863355,8.60509618570337,1.46222348881556,12.7236024114007,15.223922069979,830810029.645485,154.3,55.6119354586873,-20.5224785561874,-21.6343437136427,9.8573388318389,12231.348525896414,25.6371484375,2.9505622489959835,1.6833333333333331,LMC,EAS,1.0
TLS,2023,,12.5555054727804,1.19438119605832,2.05762969208876,,8.42035103310377,39.842404634919,2.7090733979556,1.59558659543284,23.6829887559702,-9.25901101432505,781994896.673166,120.9,22.9230952988934,-18.135905003556,-19.0224448140371,17.3563221817831,12970.27556,16.849027237354086,3.959,5.024166666666667,LMC,EAS,1.0
TLS,2024,,15.365375502464,0.171513876999766,3.0506475146491,,2.06284153005468,12.0828309223653,,,34.793207276323,-31.4902137229965,736966607.082018,,10.5575534107684,-9.10069369772735,-10.161913982094,27.0079126873215,17247.44876984127,15.55065637065637,4.20796,5.1433333333333335,LMC,EAS,0.0
TON,2000,,35.6553966519918,1.58557441512349,,,6.32763551411155,,18.5933819734419,3.03589448521045,40.5102913014602,,24642268.2072333,101.6817561632,15.214150204456,3.75409745006452,3.1164781634571,19.7261510145368,3783.6733333333336,23.315,6.030278884462151,6.235833333333333,UMC,EAS,0.0
TON,2001,,39.2511537703205,2.21627239288448,9.82428599700088,,8.2902831885033,,14.4125292098398,3.01697542452954,41.8808171131913,-7.26085680790221,23759782.4929206,103.6854297402,13.3668244461427,1.49248125545273,0.8921026437352,23.1839915188947,2034.9960483870968,25.74967741935484,5.0206854838709685,3.8875,UMC,EAS,0.0
TON,2002,,43.7764152299564,3.06330191726151,8.93140750824393,,10.3590607918507,,8.33342231115982,2.77566579132943,44.030409527589,-3.46620189323188,25120530.7470288,103.7513696473,18.256309233981,4.4292235994526,3.84009133315611,23.9297188195537,1539.7314682539684,27.29246031746032,4.61308,1.6666666666666667,UMC,EAS,0.0
TON,2003,,45.9910524452717,1.94265559168876,8.25547128181408,,11.6386219580734,,14.4755460008672,1.99261355314497,44.6153575903784,-6.34024407217629,39771012.5925288,107.3845368866,19.3878295586907,0.0518054450729011,-0.5132750153019,20.1250717288707,1646.8107936507936,21.982857142857146,4.01388,1.1275,UMC,EAS,0.0
TON,2004,,40.4971742111896,1.35222916136812,8.63191861862221,,10.9734053679554,,13.8822301199618,1.75270143411704,40.5739621660327,-3.26824811194436,55262356.5109295,101.730441083,19.5645378976463,-1.96794740326561,-2.53428308034319,19.7063691847424,1986.3453571428572,15.478656126482212,4.271319999999999,1.3491666666666668,UMC,EAS,0.0
TON,2005,,34.086699517404,0.251727528833291,9.76109877204958,,8.66569221131751,,22.1429557257892,2.66438248241032,52.8295328320472,-9.29333405709877,46864163.2271085,115.4,17.8418396894625,-0.657650703495165,-1.22171662108754,21.6534087068824,2099.3459523809524,12.807063492063492,4.28888,3.213333333333334,UMC,EAS,0.0
TON,2006,,30.805607672984,0.312057704706392,8.57950659181652,,6.14911606456571,,6.75288422309082,2.68086764913212,48.2297487246819,-8.10879558988645,47972473.597744,115.8,14.5601745075368,-2.16566342680382,-2.70155026186355,20.5220100117669,2263.4099601593625,12.806533864541834,4.795,4.964166666666666,UMC,EAS,0.0
TON,2007,,31.9495656046392,0.0,10.6316183584491,,5.8422487490138,,12.034401350532,2.21546757061686,55.0752205750382,-16.4953983377192,65238721.718125,104.6,12.2199248588783,-2.46430779100223,-2.89657717629593,20.2246238134897,2578.466613545817,17.535936254980083,4.634661354581673,5.019166666666666,UMC,EAS,0.0
TON,2008,,28.2553133290998,0.0,8.74869673351477,,10.4469875128223,,3.46709197427115,2.2588465333504,52.2729543044676,-18.207471277767,69753902.8457779,97.2,15.9897857656292,4.86284132376997,4.57476736236848,20.0175440686659,2161.684743083004,32.69486166007905,3.6642629482071714,1.9275,UMC,EAS,1.0
TON,2009,,35.6582542056978,6.06044306449309e-06,7.16532314498449,,1.42685972070535,,-2.40234361467858,1.46435358372206,48.0063486470451,-30.038855601242,95702573.8593442,102.5,13.6211689503155,-5.12917819150532,-5.29112664808726,24.3059965617122,1845.3849603174604,31.479007936507937,3.2641199999999997,0.16,UMC,EAS,0.0
TON,2010,,40.5604079269347,0.0106950852691894,9.31865502614687,,3.53491239189833,,6.34391988267678,1.5416449270189,39.9212043564535,-23.83210956232,104527450.867601,106.1,12.5005634416983,0.824396914081831,0.639458308941471,28.6607072079984,2349.893531746032,22.54888888888889,3.2150597609561755,0.175,UMC,EAS,0.0
TON,2011,,44.8662392078593,0.0251871477200343,6.54672791514245,,6.2707530299569,,-1.54203665693273,1.16577832188355,33.0058540853059,-20.2517397724187,143294510.36368,95.0,16.2529188382085,6.70369746238768,6.53506653770044,27.9219321736928,2677.4407142857144,24.20257936507937,2.78164,0.1016666666666666,UMC,EAS,0.0
TON,2012,,40.8256419312625,0.024231255487139,6.15078416226976,,1.14753853706055,5.41099056911256,12.7392051032482,1.33570596007502,30.5928191254486,-14.8200258513003,152403989.217978,91.6,17.0563243514826,0.919761024923076,1.02306619626815,34.9883672497694,2965.55932,17.79888,1.80344,0.14,UMC,EAS,0.0
TON,2021,,40.8140175055665,0.0,4.87731100988822,36.0009924005587,5.64051140636743,5.60493338672326,16.1189729727304,0.996797935441798,36.3990634096723,-9.54536157602045,361811847.800967,105.9,11.0814141797271,-0.934926303735025,-0.733960091098751,31.5493510071126,14371.66246031746,19.656150793650795,1.4468525896414344,0.08,UMC,EAS,0.0
TON,2022,,38.6037543496664,0.0,10.98482329348,39.9560181323424,10.9713652903022,-1.2272460668492,3.60913122262904,0.9976558686332,35.9655059744696,-8.45659468821285,375564012.935228,81.0,10.7634075818954,-2.12854452405193,-1.71112661451836,27.6941217094422,12231.348525896414,25.6371484375,2.9505622489959835,1.6833333333333331,UMC,EAS,0.0
